PREDICTED		ACTUAL
[0.50402755 0.49597245]		[0 1]
[0.01464231 0.98535764]		[0 1]
[0.9573382 0.0426618]		[1 0]
[0.34446788 0.65553206]		[1 0]
[0.30716634 0.6928337 ]		[0 1]
[0.69139624 0.3086038 ]		[1 0]
[0.4297864  0.57021356]		[0 1]
[0.19127917 0.8087208 ]		[0 1]
[0.8846807  0.11531928]		[1 0]
[0.28803807 0.711962  ]		[1 0]
[0.3527439 0.6472561]		[0 1]
[0.619809   0.38019103]		[1 0]
[0.1893609  0.81063914]		[1 0]
[0.25347877 0.7465212 ]		[0 1]
[0.07756163 0.9224383 ]		[0 1]
[0.7102369  0.28976312]		[1 0]
[0.7016409  0.29835916]		[1 0]
[0.76180434 0.23819563]		[0 1]
[0.39173716 0.6082628 ]		[0 1]
[0.8831123 0.1168877]		[1 0]
[0.11712371 0.88287634]		[0 1]
[0.6386535  0.36134648]		[1 0]
[0.76594734 0.23405267]		[1 0]
[0.4129494  0.58705056]		[0 1]
[0.9468751  0.05312495]		[1 0]
[0.4469243  0.55307573]		[0 1]
[0.5036548 0.4963452]		[0 1]
[0.5991455 0.4008546]		[0 1]
[0.9268972  0.07310283]		[1 0]
[0.31096092 0.6890391 ]		[0 1]
[0.49955976 0.5004402 ]		[0 1]
[0.5595212  0.44047883]		[1 0]
[0.46816868 0.5318314 ]		[0 1]
[0.30579165 0.6942083 ]		[0 1]
[0.64518374 0.35481626]		[1 0]
[0.7254311  0.27456895]		[1 0]
[0.65247524 0.3475248 ]		[1 0]
[0.18175031 0.81824976]		[0 1]
[0.13171314 0.86828685]		[0 1]
[0.22269166 0.7773084 ]		[0 1]
[0.55824256 0.44175747]		[1 0]
[0.15015045 0.8498495 ]		[0 1]
[0.1301426 0.8698574]		[0 1]
[0.6223814  0.37761864]		[0 1]
[0.86695033 0.13304968]		[1 0]
[0.62605876 0.37394115]		[0 1]
[0.23877706 0.7612229 ]		[1 0]
[0.2193958 0.7806042]		[0 1]
[0.18746765 0.8125323 ]		[0 1]
[0.4117841 0.5882159]		[1 0]
[0.5596073  0.44039264]		[1 0]
[0.3972727 0.6027273]		[1 0]
[0.6963457  0.30365422]		[1 0]
[0.12675048 0.87324953]		[1 0]
[0.3513135 0.6486864]		[0 1]
[0.97598857 0.02401143]		[1 0]
[0.41150427 0.58849573]		[0 1]
[0.78376913 0.21623085]		[1 0]
[0.11903021 0.88096976]		[0 1]
[0.33755878 0.6624412 ]		[1 0]
[0.6492554 0.3507446]		[0 1]
[0.35013002 0.64987004]		[1 0]
[0.6546489  0.34535107]		[1 0]
[0.7923826  0.20761743]		[0 1]
[0.2126866  0.78731334]		[0 1]
[0.6187585  0.38124153]		[0 1]
[0.16368182 0.83631814]		[1 0]
[0.56507164 0.43492833]		[1 0]
[0.16852961 0.8314704 ]		[0 1]
[0.8312657  0.16873436]		[1 0]
[0.31445482 0.6855452 ]		[0 1]
[0.251969   0.74803096]		[0 1]
[0.554834 0.445166]		[0 1]
[0.90822387 0.09177618]		[1 0]
[0.3633673 0.6366327]		[0 1]
[0.87329584 0.12670416]		[0 1]
[0.98095644 0.01904348]		[1 0]
[0.3448662 0.6551339]		[1 0]
[0.5771985  0.42280152]		[0 1]
[0.62106216 0.37893787]		[1 0]
[0.77573663 0.22426336]		[1 0]
[0.2638301  0.73616993]		[1 0]
[0.7994371  0.20056288]		[0 1]
[0.808208   0.19179206]		[1 0]
[0.83225554 0.16774449]		[1 0]
[0.5169888  0.48301116]		[1 0]
[0.94146925 0.0585307 ]		[1 0]
[0.9797363 0.0202637]		[1 0]
[0.7903334  0.20966664]		[1 0]
[0.90376145 0.09623852]		[1 0]
[0.8372558  0.16274421]		[1 0]
[0.48285097 0.51714903]		[1 0]
[0.43330678 0.56669325]		[0 1]
[0.8790711 0.1209289]		[1 0]
[0.4403622 0.5596379]		[1 0]
[0.98781604 0.01218401]		[1 0]
[0.776108   0.22389197]		[1 0]
[0.2776839 0.722316 ]		[0 1]
[0.04096876 0.9590312 ]		[0 1]
[0.9546397  0.04536036]		[1 0]
[0.10447872 0.8955212 ]		[0 1]
[0.94511783 0.0548822 ]		[1 0]
[0.6787395  0.32126054]		[1 0]
[0.35429457 0.6457055 ]		[1 0]
[0.01533253 0.9846675 ]		[0 1]
[0.45322338 0.5467766 ]		[0 1]
[0.26959825 0.73040175]		[0 1]
[0.2752772  0.72472274]		[0 1]
[0.21635787 0.7836422 ]		[0 1]
[0.51494807 0.48505193]		[1 0]
[0.4387251 0.5612749]		[1 0]
[0.02964132 0.97035867]		[0 1]
[0.4947488  0.50525117]		[1 0]
[0.50877684 0.49122313]		[1 0]
[0.9739231  0.02607696]		[1 0]
[0.24384311 0.7561569 ]		[0 1]
[0.17001416 0.82998586]		[0 1]
[0.08527637 0.9147236 ]		[0 1]
[0.3120645 0.6879355]		[0 1]
[0.65965396 0.340346  ]		[0 1]
[0.11256578 0.88743424]		[0 1]
[0.48629814 0.51370186]		[0 1]
[0.5568682 0.4431318]		[1 0]
[0.03556849 0.9644315 ]		[0 1]
[0.42019072 0.5798093 ]		[0 1]
[0.74178535 0.25821465]		[1 0]
[0.9189779  0.08102202]		[1 0]
[0.25665668 0.74334335]		[0 1]
[0.3711456  0.62885445]		[1 0]
[0.6722225 0.3277775]		[0 1]
[0.3814879 0.6185121]		[1 0]
[0.08651813 0.91348183]		[0 1]
[0.01926906 0.980731  ]		[0 1]
[0.7369811 0.2630189]		[0 1]
[0.87555414 0.12444584]		[1 0]
[0.9826566  0.01734344]		[1 0]
[0.71058524 0.2894147 ]		[1 0]
[0.97014296 0.02985705]		[1 0]
[0.10925666 0.8907433 ]		[0 1]
[0.30866697 0.69133306]		[0 1]
[0.12935421 0.8706458 ]		[0 1]
[0.99533075 0.00466921]		[0 1]
[0.9804945  0.01950551]		[1 0]
[0.25502047 0.7449795 ]		[0 1]
[0.8791788  0.12082119]		[1 0]
[0.13311271 0.8668873 ]		[0 1]
[0.280444   0.71955603]		[0 1]
[0.66211617 0.3378838 ]		[1 0]
[0.31857607 0.68142396]		[1 0]
[0.778004   0.22199601]		[0 1]
[0.06498356 0.9350164 ]		[0 1]
[0.7113528  0.28864726]		[0 1]
[0.48276454 0.5172355 ]		[0 1]
[0.9114255 0.0885745]		[1 0]
[0.1452401  0.85475993]		[0 1]
[0.3798214  0.62017864]		[0 1]
[0.8550701  0.14492993]		[1 0]
[0.9771721  0.02282793]		[1 0]
[0.23677169 0.7632283 ]		[1 0]
[0.9780602  0.02193984]		[1 0]
[0.8663377  0.13366231]		[1 0]
[0.46328828 0.53671175]		[1 0]
[0.95545626 0.04454372]		[1 0]
[0.17222776 0.8277722 ]		[0 1]
[0.53114    0.46885994]		[0 1]
[0.02203565 0.9779644 ]		[0 1]
[0.15478669 0.84521323]		[0 1]
[0.63795835 0.36204165]		[1 0]
[0.7949586  0.20504138]		[0 1]
[0.46924403 0.530756  ]		[1 0]
[0.9558447  0.04415531]		[1 0]
[0.9621175 0.0378825]		[1 0]
[0.45353088 0.5464692 ]		[1 0]
[0.29551998 0.70448005]		[0 1]
[0.616536   0.38346392]		[1 0]
[0.6974189  0.30258107]		[0 1]
[0.98201054 0.01798943]		[1 0]
[0.29111087 0.7088891 ]		[0 1]
[0.17068666 0.82931334]		[0 1]
[0.26815    0.73184997]		[0 1]
[0.7732987  0.22670127]		[1 0]
[0.897511   0.10248897]		[1 0]
[0.40396604 0.59603393]		[1 0]
[0.86561656 0.13438341]		[1 0]
[0.68125015 0.3187498 ]		[1 0]
[0.12327237 0.87672764]		[0 1]
[0.98837847 0.01162161]		[1 0]
[0.81371087 0.18628916]		[0 1]
[0.5851111 0.4148889]		[1 0]
[0.31604195 0.68395805]		[0 1]
[0.31993368 0.68006635]		[0 1]
[0.6651873  0.33481267]		[1 0]
[0.48192385 0.5180762 ]		[1 0]
[0.111271 0.888729]		[0 1]
[0.96310455 0.03689547]		[1 0]
[0.00762418 0.9923758 ]		[0 1]
[0.9486091  0.05139094]		[1 0]
[0.6305566  0.36944345]		[1 0]
[0.13284886 0.8671511 ]		[0 1]
[0.69908667 0.30091336]		[0 1]
[0.16359648 0.83640355]		[0 1]
[0.8534485  0.14655143]		[1 0]
[0.9262365  0.07376355]		[1 0]
[0.9611431 0.0388569]		[1 0]
[0.34040862 0.6595914 ]		[0 1]
[0.56997293 0.43002707]		[1 0]
[0.9155669  0.08443306]		[1 0]
[0.9545834  0.04541662]		[1 0]
[0.13520893 0.86479104]		[0 1]
[0.57730895 0.42269105]		[0 1]
[0.13637643 0.86362356]		[1 0]
[0.22705752 0.7729425 ]		[1 0]
[0.09510488 0.9048952 ]		[0 1]
[0.75546664 0.24453339]		[1 0]
[0.01203303 0.98796695]		[0 1]
[0.3256407 0.6743593]		[1 0]
[0.3587812  0.64121884]		[1 0]
[0.42462936 0.5753706 ]		[0 1]
[0.63862956 0.36137044]		[0 1]
[0.65924007 0.3407599 ]		[0 1]
[0.39407685 0.6059231 ]		[0 1]
[0.5489722  0.45102784]		[1 0]
[0.8355533  0.16444671]		[0 1]
[0.06871095 0.931289  ]		[0 1]
[0.02080647 0.9791935 ]		[0 1]
[0.10100858 0.89899147]		[0 1]
[0.4667789  0.53322107]		[1 0]
[0.8182458 0.1817542]		[1 0]
[0.9405149  0.05948507]		[1 0]
[0.5682995 0.4317006]		[1 0]
[0.97656804 0.02343197]		[1 0]
[0.9420499  0.05795002]		[1 0]
[0.28014448 0.7198555 ]		[1 0]
[0.6909338  0.30906615]		[1 0]
[0.6457258  0.35427427]		[1 0]
[0.06945699 0.930543  ]		[0 1]
[0.21262199 0.787378  ]		[0 1]
[0.4000368 0.5999632]		[1 0]
[0.8680233  0.13197675]		[1 0]
[0.18047854 0.8195215 ]		[0 1]
[0.7960116  0.20398834]		[1 0]
[0.90835685 0.09164315]		[0 1]
[0.06256349 0.93743646]		[0 1]
[0.46353462 0.53646535]		[1 0]
[0.10281558 0.89718443]		[0 1]
[0.6569923 0.3430077]		[0 1]
[0.8035511 0.1964489]		[1 0]
[0.31212166 0.6878784 ]		[0 1]
[0.81882644 0.18117358]		[1 0]
[0.12569948 0.8743005 ]		[0 1]
[0.53440505 0.46559495]		[0 1]
[0.9812624  0.01873767]		[1 0]
[0.32542485 0.67457515]		[0 1]
[0.021204   0.97879606]		[0 1]
[0.88356674 0.11643333]		[0 1]
[0.39609528 0.60390466]		[0 1]
[0.3770581 0.6229419]		[0 1]
[0.3948866 0.6051134]		[0 1]
[0.29709935 0.7029007 ]		[1 0]
[0.95382917 0.0461708 ]		[1 0]
[0.83460766 0.16539237]		[1 0]
[0.5401469  0.45985305]		[0 1]
[0.09770342 0.9022966 ]		[0 1]
[0.71757853 0.28242147]		[0 1]
[0.35325587 0.64674413]		[0 1]
[0.7577424  0.24225757]		[0 1]
[0.02409092 0.97590905]		[0 1]
[0.6805931  0.31940687]		[1 0]
[0.49219617 0.5078038 ]		[0 1]
[0.8440915  0.15590851]		[1 0]
[0.56577915 0.43422085]		[0 1]
[0.6726335 0.3273665]		[1 0]
[0.77143973 0.2285603 ]		[0 1]
[0.4641097  0.53589034]		[0 1]
[0.77306235 0.22693762]		[0 1]
[0.8544607  0.14553928]		[1 0]
[0.37089387 0.6291061 ]		[0 1]
[0.32498807 0.67501193]		[1 0]
[0.6666268  0.33337313]		[0 1]
[0.8188518  0.18114817]		[1 0]
[0.27386078 0.7261392 ]		[0 1]
[0.9543745  0.04562553]		[1 0]
[0.51062447 0.4893756 ]		[0 1]
[0.8972867  0.10271329]		[1 0]
[0.2680163 0.7319837]		[0 1]
[0.8532569  0.14674318]		[1 0]
[0.94397867 0.05602129]		[1 0]
[0.6932789 0.3067211]		[1 0]
[0.46965167 0.53034836]		[0 1]
[0.37078407 0.6292159 ]		[1 0]
[0.37286794 0.62713206]		[0 1]
[0.88717324 0.11282682]		[1 0]
[0.13185902 0.86814106]		[0 1]
[0.6426266 0.3573734]		[1 0]
[0.741961   0.25803906]		[1 0]
[0.5508729  0.44912708]		[0 1]
[0.8350332  0.16496688]		[1 0]
[0.6615085  0.33849144]		[1 0]
[0.36010754 0.6398925 ]		[0 1]
[0.5004409 0.4995591]		[1 0]
[0.50136316 0.49863687]		[0 1]
[0.68064016 0.3193599 ]		[1 0]
[0.59124327 0.40875673]		[1 0]
[0.5814501 0.4185499]		[0 1]
[0.28423116 0.7157689 ]		[1 0]
[0.29472157 0.7052784 ]		[1 0]
[0.03669667 0.9633033 ]		[1 0]
[0.54882854 0.4511715 ]		[1 0]
[0.6058471  0.39415288]		[1 0]
[0.36081776 0.63918227]		[1 0]
[0.7909664  0.20903364]		[0 1]
[0.75884753 0.24115244]		[1 0]
[0.6515091  0.34849086]		[1 0]
[0.98814535 0.01185467]		[1 0]
[0.04523225 0.9547678 ]		[0 1]
[0.58942443 0.41057557]		[0 1]
[0.52661103 0.47338894]		[1 0]
[0.35442892 0.6455711 ]		[1 0]
[0.885227   0.11477292]		[1 0]
[0.12876755 0.8712325 ]		[0 1]
[0.8572941  0.14270592]		[1 0]
[0.7710369  0.22896308]		[0 1]
[0.69997203 0.300028  ]		[1 0]
[0.06104495 0.9389551 ]		[0 1]
[0.98466116 0.01533886]		[1 0]
[0.50013345 0.49986658]		[1 0]
[0.34322473 0.65677524]		[1 0]
[0.62624323 0.37375683]		[1 0]
[0.9655079  0.03449207]		[0 1]
[0.26733357 0.7326664 ]		[0 1]
[0.13707511 0.86292493]		[0 1]
[0.39687005 0.60313   ]		[1 0]
[0.8401331  0.15986688]		[1 0]
[0.33528912 0.66471094]		[0 1]
[0.6601496  0.33985037]		[1 0]
[0.12657341 0.87342656]		[0 1]
[0.17286795 0.82713205]		[1 0]
[0.95495987 0.0450402 ]		[1 0]
[0.9904067  0.00959332]		[1 0]
[0.8836017  0.11639827]		[1 0]
[0.51667756 0.4833225 ]		[0 1]
[0.4817228 0.5182772]		[1 0]
[0.9965803  0.00341969]		[1 0]
[0.26023912 0.7397609 ]		[1 0]
[0.48940772 0.5105923 ]		[0 1]
[0.29896045 0.70103955]		[1 0]
[0.3483956 0.6516044]		[0 1]
[0.11033496 0.889665  ]		[1 0]
[0.27117202 0.72882795]		[0 1]
[0.01244154 0.9875585 ]		[0 1]
[0.7952805 0.2047195]		[1 0]
[0.8101254  0.18987456]		[1 0]
[0.86969227 0.13030773]		[0 1]
[0.49736235 0.5026377 ]		[0 1]
[0.938294   0.06170605]		[1 0]
[0.63330317 0.36669683]		[1 0]
[0.3272879 0.6727121]		[0 1]
[0.8602142  0.13978583]		[1 0]
[0.7763875 0.2236125]		[1 0]
[0.63401103 0.365989  ]		[1 0]
[0.03954816 0.9604518 ]		[0 1]
[0.6732819 0.3267181]		[0 1]
[0.5458146  0.45418537]		[1 0]
[0.9044013  0.09559864]		[1 0]
[0.8264592  0.17354085]		[1 0]
[0.5682696 0.4317304]		[0 1]
[0.8166429  0.18335709]		[1 0]
[0.10495641 0.89504355]		[0 1]
[0.42196018 0.57803977]		[0 1]
[0.5981932  0.40180677]		[1 0]
[0.2087259  0.79127413]		[0 1]
[0.9102953  0.08970467]		[1 0]
[0.7133963  0.28660372]		[1 0]
[0.98888344 0.01111661]		[1 0]
[0.5430108  0.45698923]		[1 0]
[0.8754532  0.12454681]		[1 0]
[0.5531939  0.44680604]		[1 0]
[0.5058299  0.49417007]		[0 1]
[0.83018315 0.16981684]		[1 0]
[0.72795403 0.27204597]		[0 1]
[0.8294726  0.17052743]		[1 0]
[0.17912474 0.8208753 ]		[0 1]
[0.8827419  0.11725812]		[1 0]
[0.7702928  0.22970718]		[1 0]
[0.7418731 0.2581269]		[1 0]
[0.47074774 0.52925223]		[0 1]
[0.8585795  0.14142045]		[1 0]
[0.18035452 0.81964546]		[0 1]
[0.8564728 0.1435272]		[1 0]
[0.04610385 0.9538962 ]		[0 1]
[0.72171193 0.278288  ]		[0 1]
[0.9365     0.06349997]		[1 0]
[0.11993817 0.88006186]		[0 1]
[0.9951904  0.00480964]		[1 0]
[0.3274859  0.67251414]		[1 0]
[0.76072437 0.23927559]		[0 1]
[0.18954957 0.81045043]		[0 1]
[0.44071484 0.5592851 ]		[0 1]
[0.587172 0.412828]		[1 0]
[0.520278   0.47972202]		[0 1]
[0.05206001 0.94794   ]		[0 1]
[0.08696594 0.913034  ]		[0 1]
[0.0237439 0.9762561]		[0 1]
[0.78616583 0.21383417]		[1 0]
[0.84856653 0.15143347]		[1 0]
[0.2801619  0.71983814]		[0 1]
[0.38134447 0.61865556]		[0 1]
[0.42637122 0.5736288 ]		[0 1]
[0.84088045 0.15911964]		[1 0]
[0.6792066  0.32079333]		[1 0]
[0.08158131 0.9184187 ]		[0 1]
[0.774091   0.22590902]		[1 0]
[0.26532036 0.73467964]		[1 0]
[0.19901854 0.8009814 ]		[0 1]
[0.91099316 0.08900689]		[1 0]
[0.4883774 0.5116226]		[1 0]
[0.27574712 0.7242529 ]		[0 1]
[0.81190383 0.18809621]		[0 1]
[0.02210347 0.9778966 ]		[0 1]
[0.9886878  0.01131221]		[1 0]
[0.6458009 0.3541991]		[1 0]
[0.2622366  0.73776346]		[1 0]
[0.4733563 0.5266437]		[0 1]
[0.2716588 0.7283412]		[1 0]
[0.4168213 0.5831787]		[1 0]
[0.29817733 0.7018227 ]		[0 1]
[0.16818018 0.8318198 ]		[0 1]
[0.2541359 0.7458641]		[0 1]
[0.5624785  0.43752155]		[0 1]
[0.6784127  0.32158732]		[0 1]
[0.7327175  0.26728246]		[0 1]
[0.4664433 0.5335567]		[0 1]
[0.6359123  0.36408764]		[0 1]
[0.3948497 0.6051503]		[0 1]
[0.07160239 0.9283976 ]		[0 1]
[0.86915815 0.1308418 ]		[1 0]
[0.42418748 0.5758125 ]		[1 0]
[0.06784147 0.93215847]		[0 1]
[0.09924495 0.900755  ]		[0 1]
[0.39035618 0.6096438 ]		[0 1]
[0.31588012 0.68411994]		[1 0]
[0.9854871  0.01451294]		[1 0]
[0.14557827 0.8544217 ]		[0 1]
[0.828818   0.17118202]		[1 0]
[0.7712419  0.22875805]		[0 1]
[0.42912734 0.5708727 ]		[0 1]
[0.9142848  0.08571518]		[0 1]
[0.02034442 0.9796555 ]		[0 1]
[0.28352767 0.71647227]		[0 1]
[0.933969   0.06603094]		[1 0]
[0.3352423 0.6647577]		[0 1]
[0.87099504 0.12900494]		[1 0]
[0.21464007 0.78536   ]		[0 1]
[0.773675   0.22632493]		[0 1]
[0.8970291 0.1029709]		[1 0]
[0.5562323  0.44376767]		[0 1]
[0.8222739  0.17772612]		[1 0]
[0.292877 0.707123]		[0 1]
[0.32066944 0.6793305 ]		[0 1]
[0.26103407 0.7389659 ]		[0 1]
[0.77373755 0.22626247]		[1 0]
[0.1494191 0.8505809]		[0 1]
[0.9054629  0.09453706]		[1 0]
[0.9111204  0.08887956]		[1 0]
[0.05414407 0.9458559 ]		[0 1]
[0.59612626 0.4038737 ]		[0 1]
[0.20351161 0.7964884 ]		[0 1]
[0.8619249  0.13807507]		[1 0]
[0.74092734 0.25907266]		[0 1]
[0.3206652  0.67933476]		[0 1]
[0.35830963 0.6416904 ]		[0 1]
[0.2086298 0.7913702]		[1 0]
[0.82122606 0.17877394]		[1 0]
[0.98321116 0.01678882]		[1 0]
[0.63642216 0.36357784]		[1 0]
[0.9117944  0.08820561]		[1 0]
[0.59644717 0.40355292]		[1 0]
[0.05004957 0.94995046]		[0 1]
[0.92622614 0.07377388]		[1 0]
[0.08212242 0.91787755]		[0 1]
[0.06590846 0.9340915 ]		[0 1]
